error_probability,reconstruction_success_rate,error_recovery_rate,requests,completed,failed,transaction_success_rate,mean_latency_ms,p95_latency_ms,throughput_bytes_per_s,cache_hits,molecular_reads,molecular_writes,errors_injected,errors_recovered,endurance_failures,maximum_rewrite_cycles,total_rewrite_cycles,prefetch_enabled,prefetch_depth,prefetch_attempts,prefetch_completed,prefetch_errors,prefetch_errors_recovered,prefetch_time_ms,simulation_time_ms,cold_read_count,hot_read_count,write_count,mean_queue_wait_ms,active_channel_count,mean_channel_utilization,max_channel_utilization,min_channel_utilization,channel_utilization,channel_busy_time_ms,channel_requests,channel_completed,channel_failed,channel_bytes_completed,peak_queue_depth,mean_sampled_queue_depth
0.0,1.0,,2000,2000,0,1.0,33349.67088718127,63394.48584048301,122686.07738228426,0,2000,0,0,0,0,0,0,False,1,0,0,0,0,0.0,66772.04271902914,2000,0,0,33216.20492051889,4,0.9994150338038508,0.9999177377863986,0.9985919142401064,"[0.9993047393652942, 0.9999177377863986, 0.9998457438236038, 0.9985919142401064]","[66725.6187462277, 66766.54990298838, 66761.74271902913, 66678.02195651746]","[500, 503, 499, 498]","[500, 503, 499, 498]","[0, 0, 0, 0]","[2048000, 2060288, 2043904, 2039808]",2000,997.503
0.01,1.0,1.0,2000,2000,0,1.0,33235.137838696035,63206.067310726976,123074.75274945534,0,2000,0,26,26,0,0,0,False,1,0,0,0,0,0.0,66561.17373379208,2000,0,0,33102.104490075806,4,0.999331450736485,0.9998317337364754,0.9986335498276893,"[0.9986335498276893, 0.9997433531708976, 0.9991171662108779, 0.9998317337364754]","[66470.22120647434, 66544.09101961197, 66502.41128057626, 66549.97373379208]","[499, 501, 500, 500]","[499, 501, 500, 500]","[0, 0, 0, 0]","[2043904, 2052096, 2048000, 2048000]",2000,997.503
0.03,1.0,1.0,2000,2000,0,1.0,33157.99050751617,63192.06185477246,123000.977939354,0,2000,0,71,71,0,0,0,False,1,0,0,0,0,0.0,66601.09648916035,2000,0,0,33024.95958776066,4,0.9987141861632981,0.9998453478915069,0.9981235176314202,"[0.9982200246328368, 0.9986678544974287, 0.9998453478915069, 0.9981235176314202]","[66482.54817798358, 66512.374138006, 66590.79648916035, 66476.12070587036]","[499, 499, 501, 501]","[499, 499, 501, 501]","[0, 0, 0, 0]","[2043904, 2043904, 2052096, 2052096]",2000,997.503
0.05,0.9995,0.99,2000,1999,1,0.9995,33131.34898857617,63143.95501323387,123116.01112141222,0,2000,0,100,99,0,0,0,False,1,0,0,0,0,0.0,66505.5984629441,1999,0,0,32998.44805408369,4,0.9991683816061789,0.9998315931251075,0.9983587272985943,"[0.9997215796249731, 0.998761626376041, 0.9983587272985943, 0.9998315931251075]","[66487.08194927865, 66423.23968396198, 66396.44463969622, 66494.3984629441]","[500, 497, 502, 501]","[500, 497, 502, 500]","[0, 0, 0, 1]","[2048000, 2035712, 2056192, 2048000]",2000,997.503
0.1,1.0,1.0,2000,2000,0,1.0,33163.048007044286,63178.29520194347,123043.89786374512,0,2000,0,208,208,0,0,0,False,1,0,0,0,0,0.0,66577.86482895364,2000,0,0,33030.002324488,4,0.9991735458781635,0.9999624499823414,0.9980450752726476,"[0.9999624499823414, 0.9990852267980096, 0.9980450752726476, 0.9996014314596556]","[66575.36482895364, 66516.96118236237, 66447.71011470519, 66551.32898654952]","[500, 501, 498, 501]","[500, 501, 498, 501]","[0, 0, 0, 0]","[2048000, 2052096, 2039808, 2052096]",2000,997.503
0.2,0.998,0.9901234567901235,2000,1996,4,0.998,33196.21696015609,63238.45983804644,122787.84846269038,0,2000,0,405,401,0,0,0,False,1,0,0,0,0,0.0,66583.26619742178,1996,0,0,33063.170961424126,4,0.9989426266657513,0.9999624530284743,0.998240407720983,"[0.9999624530284743, 0.9990626455825455, 0.9985050003310024, 0.998240407720983]","[66580.76619742178, 66520.85407872307, 66483.72423649585, 66466.10679630906]","[503, 498, 502, 497]","[503, 498, 500, 495]","[0, 0, 2, 2]","[2060288, 2039808, 2048000, 2027520]",2000,997.503
