payload_size_bytes,payload_size_label,logical_block_size_bytes,logical_block_size_label,logical_blocks,cold_read_latency_ms,hot_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,hot_read_throughput_bytes_per_s,write_throughput_bytes_per_s,cold_read_success_rate,hot_read_success_rate,write_success_rate,cold_molecular_reads,hot_molecular_reads,molecular_writes
262144,256 KB,4096,4 KB,64,2143.608438395059,3.2000000000000006,2610.8435970508835,4754.452035445942,122290.99088463649,81919999.99999999,100405.86126879013,1.0,1.0,1.0,64,0,64
1048576,1 MB,4096,4 KB,256,8576.66458117942,12.799999999999986,10297.205117585945,18873.869698765368,122259.18246832093,81920000.00000009,101831.12679859153,1.0,1.0,1.0,256,0,256
5242880,5 MB,4096,4 KB,1280,42656.915301169734,64.00000000000037,50339.41840470649,92996.33370587623,122908.09035261466,81919999.99999952,104150.58747499983,1.0,1.0,1.0,1280,0,1280
10485760,10 MB,4096,4 KB,2560,85042.20331605304,128.00000000000128,100196.276672421,185238.47998847405,123300.66239030108,81919999.99999918,104652.19215961349,1.0,1.0,1.0,2560,0,2560
5,5 B,16384,16 KB,1,62.972400999202634,0.2,9.405832786453484,72.37823378565612,79.39986280757043,25000.0,531.5850402104878,1.0,1.0,1.0,1,0,1
1024,1 KB,16384,16 KB,1,81.68988546987607,0.2,48.83760127295798,130.52748674283407,12535.211600677416,5120000.0,20967.45076148943,1.0,1.0,1.0,1,0,1
4096,4 KB,16384,16 KB,1,138.11786613121936,0.2,167.71335474748378,305.8312208787031,29655.830304448675,20480000.0,24422.62279093462,1.0,1.0,1.0,1,0,1
16384,16 KB,16384,16 KB,1,363.8297887765924,0.2,643.216368645587,1007.0461574221794,45032.046592700804,81920000.0,25471.988585271225,1.0,1.0,1.0,1,0,1
65536,64 KB,16384,16 KB,4,368.206075900422,0.2,693.8600701237526,1062.0661460241745,177987.28562459577,327680000.0,94451.32069397134,1.0,1.0,1.0,4,0,4
262144,256 KB,16384,16 KB,16,1460.0922665427072,0.8,2614.6869189561057,4074.7791854988127,179539.338716395,327680000.0,100258.27493895867,1.0,1.0,1.0,16,0,16
1048576,1 MB,16384,16 KB,64,5682.303182900362,3.2000000000000006,10042.588823433103,15724.892006333466,184533.62417469348,327679999.99999994,104412.917668528,1.0,1.0,1.0,64,0,64
5242880,5 MB,16384,16 KB,320,28455.50991809202,15.999999999999975,49593.65637273896,78049.16629083098,184248.32361435125,327680000.0000005,105716.74652490331,1.0,1.0,1.0,320,0,320
10485760,10 MB,16384,16 KB,640,56705.11729581719,31.99999999999992,96841.8520284432,153546.9693242604,184917.34961587805,327680000.00000083,108277.15270170846,1.0,1.0,1.0,640,0,640
5,5 B,65536,64 KB,1,62.972400999202634,0.2,9.405832786453484,72.37823378565612,79.39986280757043,25000.0,531.5850402104878,1.0,1.0,1.0,1,0,1
1024,1 KB,65536,64 KB,1,81.68988546987607,0.2,48.83760127295798,130.52748674283407,12535.211600677416,5120000.0,20967.45076148943,1.0,1.0,1.0,1,0,1
4096,4 KB,65536,64 KB,1,138.11786613121936,0.2,167.71335474748378,305.8312208787031,29655.830304448675,20480000.0,24422.62279093462,1.0,1.0,1.0,1,0,1
16384,16 KB,65536,64 KB,1,363.8297887765924,0.2,643.216368645587,1007.0461574221794,45032.046592700804,81920000.0,25471.988585271225,1.0,1.0,1.0,1,0,1
65536,64 KB,65536,64 KB,1,1266.6774793580846,0.2,2545.228424238,3811.9059035960845,51738.50571118683,327680000.0,25748.57304590271,1.0,1.0,1.0,1,0,1
262144,256 KB,65536,64 KB,4,1270.5792161079416,0.2,2756.571389154614,4027.1506052625555,206318.5015752136,1310720000.0,95097.84547259427,1.0,1.0,1.0,4,0,4
1048576,1 MB,65536,64 KB,16,5005.471514817826,0.8,10388.416361834305,15393.88787665213,209485.95889435662,1310720000.0,100937.04020685313,1.0,1.0,1.0,16,0,16
5242880,5 MB,65536,64 KB,80,24843.87809808086,4.000000000000001,49925.63660618137,74769.51470426223,211033.0754039967,1310719999.9999998,105013.78362696472,1.0,1.0,1.0,80,0,80
10485760,10 MB,65536,64 KB,160,49913.93071093762,8.000000000000004,99277.94554931666,149191.87626025427,210076.82325652346,1310719999.9999995,105620.23561205911,1.0,1.0,1.0,160,0,160
