cache_size,requests,completed,failed,transaction_success_rate,mean_latency_ms,p95_latency_ms,throughput_bytes_per_s,cache_hits,molecular_reads,molecular_writes,errors_injected,errors_recovered,error_recovery_rate,endurance_failures,maximum_rewrite_cycles,total_rewrite_cycles,prefetch_enabled,prefetch_depth,prefetch_attempts,prefetch_completed,prefetch_errors,prefetch_errors_recovered,prefetch_time_ms,simulation_time_ms,cold_read_count,hot_read_count,write_count,mean_queue_wait_ms,active_channel_count,mean_channel_utilization,max_channel_utilization,min_channel_utilization,channel_utilization,channel_busy_time_ms,channel_requests,channel_completed,channel_failed,channel_bytes_completed,peak_queue_depth,mean_sampled_queue_depth
0,1500,1496,4,0.9973333333333333,26197.951318892432,50161.988794405945,115603.66525798725,0,1006,494,32,32,1.0,1,179,490,False,1,0,0,0,0,0.0,53005.37821465512,1006,0,490,26056.928628015696,4,0.9985576797110528,0.9998943503435195,0.9978083519056063,"[0.9985153530538815, 0.9998943503435195, 0.998012663541204, 0.9978083519056063]","[52926.68394176087, 52999.77821465512, 52900.03869401686, 52889.20907849835]","[371, 377, 376, 376]","[369, 376, 376, 375]","[2, 1, 0, 1]","[1511424, 1540096, 1540096, 1536000]",1500,747.504
4,1500,1496,4,0.9973333333333333,10947.705220317483,22816.417801071555,246340.03758958264,848,158,494,7,7,1.0,3,176,490,False,1,0,0,0,0,0.0,24874.624766474128,158,848,490,10881.843486886615,4,0.9961046274230922,0.9984120363474492,0.9938197858442804,"[0.9969431243570968, 0.9938197858442804, 0.9984120363474492, 0.9952435631435427]","[24798.586131899134, 24720.894258374152, 24835.124766474128, 24756.310184444323]","[399, 266, 377, 458]","[399, 266, 375, 456]","[0, 0, 2, 2]","[1634304, 1089536, 1536000, 1867776]",1500,747.504
8,1500,1495,5,0.9966666666666667,9964.817420928242,20678.59252437694,272175.87955431687,913,93,494,1,1,1.0,1,178,489,False,1,0,0,0,0,0.0,22498.39335516121,93,913,489,9905.32248531814,4,0.9961159712860885,0.9980487495570465,0.993097757737118,"[0.993097757737118, 0.9975769502976104, 0.9957404275525793, 0.9980487495570465]","[22343.10399369827, 22443.87862983774, 22402.559818714333, 22454.49335516121]","[370, 294, 439, 397]","[370, 292, 438, 395]","[0, 2, 1, 2]","[1515520, 1196032, 1794048, 1617920]",1500,747.504
16,1500,1495,5,0.9966666666666667,9964.817420928242,20678.59252437694,272175.87955431687,913,93,494,1,1,1.0,1,178,489,False,1,0,0,0,0,0.0,22498.39335516121,93,913,489,9905.32248531814,4,0.9961159712860885,0.9980487495570465,0.993097757737118,"[0.993097757737118, 0.9975769502976104, 0.9957404275525793, 0.9980487495570465]","[22343.10399369827, 22443.87862983774, 22402.559818714333, 22454.49335516121]","[370, 294, 439, 397]","[370, 292, 438, 395]","[0, 2, 1, 2]","[1515520, 1196032, 1794048, 1617920]",1500,747.504
32,1500,1495,5,0.9966666666666667,9964.817420928242,20678.59252437694,272175.87955431687,913,93,494,1,1,1.0,1,178,489,False,1,0,0,0,0,0.0,22498.39335516121,93,913,489,9905.32248531814,4,0.9961159712860885,0.9980487495570465,0.993097757737118,"[0.993097757737118, 0.9975769502976104, 0.9957404275525793, 0.9980487495570465]","[22343.10399369827, 22443.87862983774, 22402.559818714333, 22454.49335516121]","[370, 294, 439, 397]","[370, 292, 438, 395]","[0, 2, 1, 2]","[1515520, 1196032, 1794048, 1617920]",1500,747.504
64,1500,1495,5,0.9966666666666667,9964.817420928242,20678.59252437694,272175.87955431687,913,93,494,1,1,1.0,1,178,489,False,1,0,0,0,0,0.0,22498.39335516121,93,913,489,9905.32248531814,4,0.9961159712860885,0.9980487495570465,0.993097757737118,"[0.993097757737118, 0.9975769502976104, 0.9957404275525793, 0.9980487495570465]","[22343.10399369827, 22443.87862983774, 22402.559818714333, 22454.49335516121]","[370, 294, 439, 397]","[370, 292, 438, 395]","[0, 2, 1, 2]","[1515520, 1196032, 1794048, 1617920]",1500,747.504
128,1500,1495,5,0.9966666666666667,9964.817420928242,20678.59252437694,272175.87955431687,913,93,494,1,1,1.0,1,178,489,False,1,0,0,0,0,0.0,22498.39335516121,93,913,489,9905.32248531814,4,0.9961159712860885,0.9980487495570465,0.993097757737118,"[0.993097757737118, 0.9975769502976104, 0.9957404275525793, 0.9980487495570465]","[22343.10399369827, 22443.87862983774, 22402.559818714333, 22454.49335516121]","[370, 294, 439, 397]","[370, 292, 438, 395]","[0, 2, 1, 2]","[1515520, 1196032, 1794048, 1617920]",1500,747.504
