scheduler,requests,completed,failed,transaction_success_rate,mean_latency_ms,p95_latency_ms,throughput_bytes_per_s,cache_hits,molecular_reads,molecular_writes,errors_injected,errors_recovered,error_recovery_rate,endurance_failures,maximum_rewrite_cycles,total_rewrite_cycles,prefetch_enabled,prefetch_depth,prefetch_attempts,prefetch_completed,prefetch_errors,prefetch_errors_recovered,prefetch_time_ms,simulation_time_ms,cold_read_count,hot_read_count,write_count,mean_queue_wait_ms,active_channel_count,mean_channel_utilization,max_channel_utilization,min_channel_utilization,channel_utilization,channel_busy_time_ms,channel_requests,channel_completed,channel_failed,channel_bytes_completed,peak_queue_depth,mean_sampled_queue_depth
fifo,2000,1994,6,0.997,30324.650365497335,57115.87554607521,135785.33552739726,306,1086,608,42,42,1.0,0,19,602,False,1,0,0,0,0,0.0,60149.52916879649,1086,306,602,30204.59543787268,4,0.9994557165477218,0.9999966749531914,0.9985022401167818,"[0.9985022401167818, 0.9993473514186587, 0.9999966749531914, 0.9999765997022553]","[60059.439617013006, 60110.272663916134, 60149.329168796496, 60148.12165190474]","[484, 494, 500, 522]","[484, 493, 498, 519]","[0, 1, 2, 3]","[1982464, 2019328, 2039808, 2125824]",2000,997.503
molecular_aware,2000,1994,6,0.997,13122.155529069307,25560.890106761373,301775.42728353053,1295,97,608,2,2,1.0,0,19,602,False,1,0,0,0,0,0.0,27064.576044246194,97,1295,602,13068.605010738836,4,0.9956165626432513,0.9998632899331602,0.9923955675283846,"[0.9960969192842274, 0.9998632899331602, 0.9941104738272327, 0.9923955675283846]","[26958.940819407337, 27060.876044246193, 26905.178515278756, 26858.765303344826]","[466, 407, 601, 526]","[465, 406, 599, 524]","[1, 1, 2, 2]","[1904640, 1662976, 2453504, 2146304]",2000,997.503
