payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,read_path_speedup,write_path_speedup,logical_blocks,cold_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,write_throughput_bytes_per_s,meets_read_500_MBps_target,meets_write_500_MBps_target,meets_roundtrip_target,meets_all_targets
1073741824,1024 MB,64,65536,64 KB,256,32,16384,16280.486701808817,21021.22009519832,37301.70679700714,65952685.79290713,51078948.75451424,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,64,16384,16280.486701808817,11542.610047599164,27823.09674940798,65952685.79290713,93024179.06973612,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,128,16384,16280.486701808817,6803.305023799581,23083.791725608397,65952685.79290713,157826500.53816423,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,256,16384,16280.486701808817,4433.652511899791,20714.139213708608,65952685.79290713,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,1,4096,306878.1216754522,611239.0430463463,918117.1647217985,3498919.434652844,1756664.3299626152,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,2,4096,304830.1216754522,305875.5215231731,610705.6431986253,3522426.911416569,3510388.2084224042,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,4,4096,303806.1216754522,153193.76076158654,456999.88243703876,3534299.500215631,7009044.093323425,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,8,4096,303294.1216754522,76852.8803807933,380147.0020562455,3540265.8583306978,13971393.377577875,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,16,4096,303038.1216754522,38682.44019039665,341720.56186584884,3543256.5977621656,27757861.673539627,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,32,4096,302910.1216754522,19597.22009519832,322507.3417706505,3544753.863162229,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,64,4096,302846.1216754522,10054.610047599164,312900.7317230514,3545502.9704844137,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,128,4096,302814.1216754522,5283.305023799581,308097.4266992518,3545877.6428888175,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,1,256,4096,302798.1216754522,2897.6525118997906,305695.774187352,3546065.0087878276,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,1,4096,155326.12167545222,609191.0430463463,764517.1647217985,6912821.954336445,1762569.9462529875,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,2,4096,155326.12167545222,305875.5215231731,461201.6431986253,6912821.954336445,3510388.2084224042,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,4,4096,154302.12167545222,153193.76076158654,307495.88243703876,6958697.731055377,7009044.093323425,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,8,4096,153790.12167545222,76852.8803807933,230643.00205624552,6981864.714730825,13971393.377577875,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,16,4096,153534.12167545222,38682.44019039665,192216.56186584887,6993506.148878925,27757861.673539627,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,32,4096,153406.12167545222,19597.22009519832,173003.34177065053,6999341.436136562,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,64,4096,153342.12167545222,10054.610047599164,163396.73172305137,7002262.732953238,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,128,4096,153310.12167545222,5283.305023799581,158593.4266992518,7003724.295992949,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,2,256,4096,153294.12167545222,2897.6525118997906,156191.774187352,7004455.3063377105,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,1,4096,79550.1216754522,608167.0430463463,687717.1647217985,13497676.702251207,1765537.6697519827,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,2,4096,79550.1216754522,304851.5215231731,384401.6431986253,13497676.702251207,3522179.6454717065,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,4,4096,79550.1216754522,153193.76076158654,232743.88243703876,13497676.702251207,7009044.093323425,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,8,4096,79038.1216754522,76852.8803807933,155891.00205624552,13585113.123120746,13971393.377577875,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,16,4096,78782.1216754522,38682.44019039665,117464.56186584885,13629257.516360698,27757861.673539627,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,32,4096,78654.1216754522,19597.22009519832,98251.34177065053,13651437.472413003,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,64,4096,78590.1216754522,10054.610047599164,88644.73172305137,13662554.543866873,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,128,4096,78558.1216754522,5283.305023799581,83841.42669925178,13668119.872264236,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,4,256,4096,78542.1216754522,2897.6525118997906,81439.774187352,13670904.237052085,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,1,4096,41662.1216754522,607655.0430463463,649317.1647217985,25772615.04741514,1767025.282332932,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,2,4096,41662.1216754522,304339.5215231731,346001.6431986253,25772615.04741514,3528105.1196574317,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,4,4096,41662.1216754522,152681.76076158654,194343.88243703876,25772615.04741514,7032548.083308092,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,8,4096,41662.1216754522,76852.8803807933,118515.0020562455,25772615.04741514,13971393.377577875,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,16,4096,41406.1216754522,38682.44019039665,80088.56186584885,25931958.38084426,27757861.673539627,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,32,4096,41278.1216754522,19597.22009519832,60875.34177065053,26012371.21306676,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,64,4096,41214.1216754522,10054.610047599164,51268.731723051365,26052764.93468349,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,128,4096,41182.1216754522,5283.305023799581,46465.42669925178,26073008.87656876,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,8,256,4096,41166.1216754522,2897.6525118997906,44063.77418735199,26083142.6498038,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,1,4096,22718.121675452203,607399.0430463463,630117.1647217985,47263670.79723052,1767770.0290977745,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,2,4096,22718.121675452203,304083.5215231731,326801.6431986253,47263670.79723052,3531075.3395039663,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,4,4096,22718.121675452203,152425.76076158654,175143.88243703876,47263670.79723052,7044359.290943413,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,8,4096,22718.121675452203,76596.8803807933,99315.0020562455,47263670.79723052,14018088.186646845,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,16,4096,22718.121675452203,38682.44019039665,61400.56186584885,47263670.79723052,27757861.673539627,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,32,4096,22590.121675452203,19597.22009519832,42187.34177065053,47531475.900229126,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,64,4096,22526.121675452203,10054.610047599164,32580.731723051365,47666519.76181537,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,128,4096,22494.121675452203,5283.305023799581,27777.426699251784,47734329.86146655,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,16,256,4096,22478.121675452203,2897.6525118997906,25375.77418735199,47768307.312465824,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,1,4096,13246.121675452205,607271.0430463463,620517.1647217985,81060845.60508493,1768142.6379456942,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,2,4096,13246.121675452205,303955.5215231731,317201.6431986253,81060845.60508493,3532562.325630066,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,4,4096,13246.121675452205,152297.76076158654,165543.88243703876,81060845.60508493,7050279.785011952,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,8,4096,13246.121675452205,76468.8803807933,89715.0020562455,81060845.60508493,14041552.833689611,False,False,False,False
