trial,write_status,read_status,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_stage_times_ms,read_stage_times_ms
14,completed,completed,115.53182111793075,127.97323078604401,243.50505190397476,"{""addressing"": 7.467162746155945, ""encoding"": 6.5206883513368155, ""molecular_write"": 83.07367658639157, ""write_verification"": 17.47029343404641, ""buffer"": 1.0}","{""addressing"": 8.566262759596349, ""molecular_access"": 44.112861383772916, ""sensing"": 33.382206486658006, ""basecalling"": 19.67937830057089, ""decoding"": 11.715650488016117, ""error_correction"": 9.516871367429728, ""buffer"": 1.0}"
15,completed,completed,115.34052188366564,141.30270475691395,256.6432266405796,"{""addressing"": 8.291806858870551, ""encoding"": 6.800823251312929, ""molecular_write"": 81.95047212198996, ""write_verification"": 17.2974196514922, ""buffer"": 1.0}","{""addressing"": 5.164856963429344, ""molecular_access"": 68.14494540717398, ""sensing"": 27.944364474482434, ""basecalling"": 18.672435592378232, ""decoding"": 11.50549811532294, ""error_correction"": 8.870604204127009, ""buffer"": 1.0}"
16,completed,completed,125.4271426869037,124.35481342928566,249.78195611618935,"{""addressing"": 5.70005653788491, ""encoding"": 5.565953689667006, ""molecular_write"": 98.1159700932428, ""write_verification"": 15.045162366108983, ""buffer"": 1.0}","{""addressing"": 8.115852050328481, ""molecular_access"": 37.01221192837657, ""sensing"": 37.15891210265545, ""basecalling"": 17.56355677882926, ""decoding"": 13.734111673879921, ""error_correction"": 9.770168895215987, ""buffer"": 1.0}"
17,completed,completed,142.80144399799724,130.06373683667653,272.86518083467377,"{""addressing"": 7.87817586248613, ""encoding"": 7.014405116718659, ""molecular_write"": 111.37612720251813, ""write_verification"": 15.532735816274316, ""buffer"": 1.0}","{""addressing"": 7.060729703208607, ""molecular_access"": 56.250526367116464, ""sensing"": 30.378319225472268, ""basecalling"": 14.28254443764134, ""decoding"": 12.356787274717117, ""error_correction"": 8.734829828520759, ""buffer"": 1.0}"
18,completed,completed,154.5453799715031,119.89548451256718,274.4408644840703,"{""addressing"": 5.863957803568524, ""encoding"": 5.546123070588052, ""molecular_write"": 133.11115958887953, ""write_verification"": 9.024139508466988, ""buffer"": 1.0}","{""addressing"": 7.031055738961854, ""molecular_access"": 44.397763505362924, ""sensing"": 30.524930452773866, ""basecalling"": 19.494026949079704, ""decoding"": 11.897344054895669, ""error_correction"": 5.550363811493144, ""buffer"": 1.0}"
19,completed,completed,166.65480011229485,154.83045481645766,321.4852549287525,"{""addressing"": 9.176678936866171, ""encoding"": 6.140254996635212, ""molecular_write"": 138.47248614080297, ""write_verification"": 11.865380037990487, ""buffer"": 1.0}","{""addressing"": 8.825538220746072, ""molecular_access"": 72.89164316261551, ""sensing"": 33.14496319838985, ""basecalling"": 20.552581938968654, ""decoding"": 10.177698597644095, ""error_correction"": 8.238029698093493, ""buffer"": 1.0}"
20,completed,completed,113.66304870814355,140.9956853323476,254.65873404049114,"{""addressing"": 7.789025403102398, ""encoding"": 6.826503499065651, ""molecular_write"": 81.6009091543293, ""write_verification"": 16.446610651646193, ""buffer"": 1.0}","{""addressing"": 8.100299631032728, ""molecular_access"": 57.17440666021739, ""sensing"": 37.224166111959974, ""basecalling"": 16.308383742959265, ""decoding"": 13.136425305546158, ""error_correction"": 8.052003880632068, ""buffer"": 1.0}"
21,completed,completed,149.58182938338945,110.76350231500925,260.3453316983987,"{""addressing"": 8.856641961060188, ""encoding"": 5.659064050084864, ""molecular_write"": 115.08029031393248, ""write_verification"": 18.98583305831193, ""buffer"": 1.0}","{""addressing"": 8.515742110441716, ""molecular_access"": 46.75922699813384, ""sensing"": 26.949628046339406, ""basecalling"": 11.117503167450202, ""decoding"": 10.023827408210959, ""error_correction"": 6.397574584433097, ""buffer"": 1.0}"
22,completed,completed,98.8742005502393,125.44584865316688,224.32004920340617,"{""addressing"": 5.679093558176357, ""encoding"": 6.798749280349865, ""molecular_write"": 69.55513582132514, ""write_verification"": 15.841221890387946, ""buffer"": 1.0}","{""addressing"": 7.600434055898153, ""molecular_access"": 46.136752621241286, ""sensing"": 34.00076903285131, ""basecalling"": 16.499139497198424, ""decoding"": 10.946066368000334, ""error_correction"": 9.262687077977356, ""buffer"": 1.0}"
23,completed,completed,201.79529914316004,192.75393057574132,394.54922971890136,"{""addressing"": 5.85334217446189, ""encoding"": 7.565567110806474, ""molecular_write"": 169.01588013201768, ""write_verification"": 18.36050972587399, ""buffer"": 1.0}","{""addressing"": 11.361240463603549, ""molecular_access"": 103.78480157228331, ""sensing"": 41.0912003192379, ""basecalling"": 15.4955164241678, ""decoding"": 9.41060100393974, ""error_correction"": 10.610570792509037, ""buffer"": 1.0}"
24,completed,completed,143.76472321057162,157.35237182185728,301.1170950324289,"{""addressing"": 7.821788326745935, ""encoding"": 5.1343061885255175, ""molecular_write"": 115.65109745542765, ""write_verification"": 14.157531239872526, ""buffer"": 1.0}","{""addressing"": 7.443971451190007, ""molecular_access"": 68.82366578817592, ""sensing"": 38.930563407101644, ""basecalling"": 19.735884024861893, ""decoding"": 13.300566946314293, ""error_correction"": 8.117720204213532, ""buffer"": 1.0}"
25,completed,completed,194.32359402695792,117.65468657802003,311.97828060497795,"{""addressing"": 6.248305931700349, ""encoding"": 5.945188739993666, ""molecular_write"": 165.28410545487387, ""write_verification"": 15.845993900390017, ""buffer"": 1.0}","{""addressing"": 9.702292945508773, ""molecular_access"": 36.16363390611836, ""sensing"": 27.574244475651764, ""basecalling"": 24.26785071441089, ""decoding"": 12.03986339644693, ""error_correction"": 6.906801139883324, ""buffer"": 1.0}"
26,completed,completed,166.9597564083918,122.02008973667978,288.9798461450716,"{""addressing"": 6.423882754510283, ""encoding"": 6.832897261625029, ""molecular_write"": 136.25169727932445, ""write_verification"": 16.451279112932045, ""buffer"": 1.0}","{""addressing"": 8.68791840126525, ""molecular_access"": 46.54556039949116, ""sensing"": 32.70704849584224, ""basecalling"": 16.0209888618635, ""decoding"": 10.389632875881809, ""error_correction"": 6.668940702335816, ""buffer"": 1.0}"
27,completed,completed,113.99128100045019,116.16351882581412,230.1547998262643,"{""addressing"": 9.068094196471943, ""encoding"": 7.798532234609526, ""molecular_write"": 79.3327460894279, ""write_verification"": 16.791908479940815, ""buffer"": 1.0}","{""addressing"": 9.781568100664504, ""molecular_access"": 38.37809110059986, ""sensing"": 31.36650464343147, ""basecalling"": 15.730810685087523, ""decoding"": 11.500101215915217, ""error_correction"": 8.406443080115546, ""buffer"": 1.0}"
28,completed,completed,191.8527049858609,142.9032621234722,334.7559671093331,"{""addressing"": 7.530699315921569, ""encoding"": 5.327268405815548, ""molecular_write"": 164.955610744319, ""write_verification"": 13.039126519804805, ""buffer"": 1.0}","{""addressing"": 8.497899989038325, ""molecular_access"": 66.02047796373934, ""sensing"": 31.67438574923164, ""basecalling"": 14.359309499652703, ""decoding"": 14.271550444325662, ""error_correction"": 7.079638477484508, ""buffer"": 1.0}"
29,completed,completed,116.70531589000852,130.348825958494,247.05414184850252,"{""addressing"": 7.587329777760925, ""encoding"": 6.588352699968112, ""molecular_write"": 83.1664898927556, ""write_verification"": 18.363143519523877, ""buffer"": 1.0}","{""addressing"": 7.591401507249829, ""molecular_access"": 48.770806117865334, ""sensing"": 38.54381084854485, ""basecalling"": 14.242570553393255, ""decoding"": 12.867565312235223, ""error_correction"": 7.33267161920552, ""buffer"": 1.0}"
30,completed,completed,106.60589593313549,143.26039227142192,249.8662882045574,"{""addressing"": 9.56641045719795, ""encoding"": 7.094212332211956, ""molecular_write"": 71.0311141294965, ""write_verification"": 17.914159014229092, ""buffer"": 1.0}","{""addressing"": 10.644091880823591, ""molecular_access"": 65.16170714425336, ""sensing"": 26.506974781802377, ""basecalling"": 19.441819208093705, ""decoding"": 12.1862120472437, ""error_correction"": 8.319587209205203, ""buffer"": 1.0}"
31,completed,completed,210.39553634141538,157.73579470205487,368.13133104347025,"{""addressing"": 7.4647363191633, ""encoding"": 7.078899986201906, ""molecular_write"": 182.0584281574234, ""write_verification"": 12.793471878626764, ""buffer"": 1.0}","{""addressing"": 7.144109593846251, ""molecular_access"": 61.48484635649592, ""sensing"": 39.31768455166584, ""basecalling"": 24.83727615517227, ""decoding"": 16.102856883852898, ""error_correction"": 7.849021161021648, ""buffer"": 1.0}"
32,completed,completed,150.58905781259855,139.53322496092468,290.12228277352324,"{""addressing"": 8.116118720689325, ""encoding"": 5.885457798240581, ""molecular_write"": 117.65251343808247, ""write_verification"": 17.9349678555862, ""buffer"": 1.0}","{""addressing"": 8.34729980763483, ""molecular_access"": 56.23525297509962, ""sensing"": 40.12702781455583, ""basecalling"": 16.82469673644019, ""decoding"": 12.034912730589367, ""error_correction"": 4.964034896604888, ""buffer"": 1.0}"
33,completed,completed,142.92516243243318,118.65666687261506,261.58182930504825,"{""addressing"": 8.913151382818683, ""encoding"": 5.739085700687632, ""molecular_write"": 113.88242843783341, ""write_verification"": 13.390496911093468, ""buffer"": 1.0}","{""addressing"": 10.30022558745181, ""molecular_access"": 35.40242390868237, ""sensing"": 37.54662958295126, ""basecalling"": 17.266579057649558, ""decoding"": 9.373426779227284, ""error_correction"": 7.767381956652759, ""buffer"": 1.0}"
34,completed,completed,172.37237281120602,135.59330408519494,307.96567689640096,"{""addressing"": 4.772286002776075, ""encoding"": 5.583159549213287, ""molecular_write"": 146.97737609867173, ""write_verification"": 14.039551160544939, ""buffer"": 1.0}","{""addressing"": 8.25344474938913, ""molecular_access"": 50.98822607496252, ""sensing"": 32.46425684242924, ""basecalling"": 20.465427308356237, ""decoding"": 12.625504178746642, ""error_correction"": 9.796444931311143, ""buffer"": 1.0}"
35,completed,completed,175.93379996783753,124.77818077306708,300.7119807409046,"{""addressing"": 8.144771982493682, ""encoding"": 6.272716210835369, ""molecular_write"": 138.25407629074496, ""write_verification"": 22.26223548376354, ""buffer"": 1.0}","{""addressing"": 7.9058229822061294, ""molecular_access"": 42.48902115933935, ""sensing"": 32.077009842202315, ""basecalling"": 18.065491946690237, ""decoding"": 12.25265320464508, ""error_correction"": 10.988181637983955, ""buffer"": 1.0}"
36,completed,completed,168.74518081171652,117.16547858133208,285.9106593930486,"{""addressing"": 6.430161609167898, ""encoding"": 4.922308128543429, ""molecular_write"": 137.58683040459098, ""write_verification"": 18.80588066941421, ""buffer"": 1.0}","{""addressing"": 7.956932790663199, ""molecular_access"": 34.95377438114105, ""sensing"": 33.11152034004551, ""basecalling"": 17.954587290911377, ""decoding"": 13.28352493440521, ""error_correction"": 8.905138844165755, ""buffer"": 1.0}"
37,completed,completed,254.5579112544331,147.0475377974137,401.6054490518468,"{""addressing"": 8.957517556417454, ""encoding"": 6.597640501402475, ""molecular_write"": 218.67238353307405, ""write_verification"": 19.3303696635391, ""buffer"": 1.0}","{""addressing"": 8.868224729249691, ""molecular_access"": 67.15524553403759, ""sensing"": 36.46362834827748, ""basecalling"": 17.808464966181365, ""decoding"": 7.258031288404155, ""error_correction"": 8.493942931263444, ""buffer"": 1.0}"
38,completed,completed,134.367034699364,120.36657234901165,254.73360704837566,"{""addressing"": 10.242683066856275, ""encoding"": 5.36038855344903, ""molecular_write"": 98.16376149622961, ""write_verification"": 19.600201582829108, ""buffer"": 1.0}","{""addressing"": 8.504026942046686, ""molecular_access"": 42.610462131605495, ""sensing"": 29.317886674900784, ""basecalling"": 15.760393960652086, ""decoding"": 14.213165874802275, ""error_correction"": 8.96063676500432, ""buffer"": 1.0}"
39,completed,completed,140.57715405388987,133.9889031826871,274.56605723657697,"{""addressing"": 6.924594039479825, ""encoding"": 7.371866475137523, ""molecular_write"": 114.18600527067544, ""write_verification"": 11.094688268597086, ""buffer"": 1.0}","{""addressing"": 7.474752653991387, ""molecular_access"": 60.99982153875422, ""sensing"": 29.154763560411567, ""basecalling"": 16.93973776032815, ""decoding"": 11.8882314579747, ""error_correction"": 6.531596211227067, ""buffer"": 1.0}"
40,completed,completed,96.25108832909734,128.72155513167132,224.97264346076867,"{""addressing"": 9.529226185311874, ""encoding"": 6.092889616865149, ""molecular_write"": 63.16438838020951, ""write_verification"": 16.4645841467108, ""buffer"": 1.0}","{""addressing"": 9.67537997019714, ""molecular_access"": 53.110995528572055, ""sensing"": 29.62216968090398, ""basecalling"": 14.756481853292918, ""decoding"": 12.289644451191505, ""error_correction"": 8.266883647513708, ""buffer"": 1.0}"
41,completed,completed,146.9731135225158,156.3998067623985,303.3729202849143,"{""addressing"": 6.928796379145644, ""encoding"": 6.904255639324338, ""molecular_write"": 123.77352061680891, ""write_verification"": 8.366540887236916, ""buffer"": 1.0}","{""addressing"": 7.302516561028624, ""molecular_access"": 68.4310273619946, ""sensing"": 38.398113149835325, ""basecalling"": 19.34706756789785, ""decoding"": 12.021605261292757, ""error_correction"": 9.899476860349353, ""buffer"": 1.0}"
42,completed,completed,136.44701713210634,135.73212181781264,272.179138949919,"{""addressing"": 10.699466916012167, ""encoding"": 4.537290545518193, ""molecular_write"": 104.6165280849444, ""write_verification"": 15.593731585631563, ""buffer"": 1.0}","{""addressing"": 8.53276387080142, ""molecular_access"": 54.3506705406614, ""sensing"": 37.88359408912636, ""basecalling"": 11.267691963850089, ""decoding"": 12.16350941448344, ""error_correction"": 10.53389193888994, ""buffer"": 1.0}"
43,completed,completed,124.02107689759968,117.50061767437698,241.52169457197667,"{""addressing"": 6.760589395787266, ""encoding"": 5.509671468962759, ""molecular_write"": 92.53078141782636, ""write_verification"": 18.220034615023295, ""buffer"": 1.0}","{""addressing"": 6.523828903213996, ""molecular_access"": 41.36269322009481, ""sensing"": 30.032077314054078, ""basecalling"": 21.0000338226685, ""decoding"": 9.991321475211215, ""error_correction"": 7.590662939134393, ""buffer"": 1.0}"
