payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,molecular_write_speedup,logical_blocks,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_throughput_bytes_per_s,cold_read_throughput_bytes_per_s,write_rank
1073741824,1024 MB,128,16384,16 KB,8,65536,81690.44019039665,181744.97340361762,263435.41359401424,13144032.78397595,5907958.849653815,19
1073741824,1024 MB,128,4096,4 KB,8,262144,93978.44019039665,272323.89361447055,366302.33380486723,11425405.889102234,3942885.105484348,20
1073741824,1024 MB,64,1048576,1 MB,64,1024,98374.61004759917,304047.53041886305,402422.14046646224,10914826.737106893,3531493.3244837997,21
1073741824,1024 MB,64,262144,256 KB,64,4096,98758.61004759917,306878.1216754522,405636.7317230514,10872386.959298875,3498919.434652844,22
1073741824,1024 MB,64,65536,64 KB,64,16384,100294.61004759917,318200.4867018088,418495.096749408,10705877.648763072,3374419.175562802,23
1073741824,1024 MB,64,16384,16 KB,64,65536,106438.61004759917,363489.94680723525,469928.55685483443,10087897.836319212,2953979.4248269075,24
1073741824,1024 MB,64,1048576,1 MB,32,1024,106509.22009519832,304047.53041886305,410556.75051406136,10081210.087166967,3531493.3244837997,25
1073741824,1024 MB,64,262144,256 KB,32,4096,106893.22009519832,306878.1216754522,413771.3417706505,10044994.650210118,3498919.434652844,26
1073741824,1024 MB,64,65536,64 KB,32,16384,108429.22009519832,318200.4867018088,426629.7067970071,9902698.027868131,3374419.175562802,27
1073741824,1024 MB,128,1048576,1 MB,4,1024,110196.88038079327,152023.76520943153,262220.64559022477,9743849.556263369,7062986.6489675995,28
1073741824,1024 MB,128,262144,256 KB,4,4096,110388.88038079327,153439.0608377261,263827.94121851935,9726902.023972534,6997838.869305688,29
1073741824,1024 MB,128,65536,64 KB,4,16384,111156.88038079327,159100.2433509044,270257.1237316977,9659697.360358192,6748838.351125604,30
1073741824,1024 MB,128,16384,16 KB,4,65536,114228.88038079327,181744.97340361762,295973.85378441087,9399915.506661497,5907958.849653815,31
