prefetch_enabled,prefetch_depth,requests,completed,failed,transaction_success_rate,mean_latency_ms,p95_latency_ms,throughput_bytes_per_s,cache_hits,molecular_reads,molecular_writes,errors_injected,errors_recovered,error_recovery_rate,endurance_failures,maximum_rewrite_cycles,total_rewrite_cycles,prefetch_attempts,prefetch_completed,prefetch_errors,prefetch_errors_recovered,prefetch_time_ms,simulation_time_ms,cold_read_count,hot_read_count,write_count,mean_queue_wait_ms,active_channel_count,mean_channel_utilization,max_channel_utilization,min_channel_utilization,channel_utilization,channel_busy_time_ms,channel_requests,channel_completed,channel_failed,channel_bytes_completed,peak_queue_depth,mean_sampled_queue_depth
False,0,2000,2000,0,1.0,4736.77575847657,8730.231578328747,853074.1593344478,1754,63,183,2,2,1.0,0,11,183,0,0,0,0,0.0,9602.916593313812,63,1754,183,4717.915346534683,4,0.9820147742936688,0.9953451641940613,0.9671722746402069,"[0.9833212284003445, 0.9822204299400625, 0.9953451641940613, 0.9671722746402069]","[9442.75174076339, 9432.180864963253, 9558.216593313811, 9287.674684735506]","[401, 737, 395, 467]","[401, 737, 395, 467]","[0, 0, 0, 0]","[1642496, 3018752, 1617920, 1912832]",2000,997.503
True,1,2000,2000,0,1.0,4971.8051799245695,8996.839919536125,838174.6517862799,1784,66,183,2,2,1.0,0,11,183,33,33,2,2,4462.168971136843,9773.619355514487,33,1784,183,4952.50174197979,4,0.9875276109401472,0.995426463997211,0.9726589923900778,"[0.9873160247242256, 0.9947089626490742, 0.995426463997211, 0.9726589923900778]","[9649.651009254312, 9721.906770450729, 9728.919355514487, 9506.398754338883]","[530, 345, 322, 803]","[530, 345, 322, 803]","[0, 0, 0, 0]","[2170880, 1413120, 1318912, 3289088]",2000,997.503
True,2,2000,1997,3,0.9985,4956.918824649155,8874.540789147846,826211.9450389298,1793,72,183,2,2,1.0,0,10,180,48,48,0,0,6381.543540826195,9900.2587037332,24,1793,180,4937.597764114395,4,0.9858387367169744,0.999979798507697,0.964189669321194,"[0.999979798507697, 0.9889903546945109, 0.9901951243444957, 0.964189669321194]","[9900.058703733199, 9791.260366972516, 9803.187898185772, 9545.727165746786]","[863, 396, 352, 389]","[862, 395, 351, 389]","[1, 1, 1, 0]","[3530752, 1617920, 1437696, 1593344]",2000,997.503
True,4,2000,1999,1,0.9995,7324.104973629654,13144.066540910475,568275.452678125,1774,215,183,0,0,,0,11,182,172,172,7,7,22922.22713861288,14408.336593482392,43,1774,182,7295.544427695934,4,0.9941871274024303,0.9986525246781821,0.9871671515444996,"[0.9986525246781821, 0.9983283295069967, 0.9926005038800427, 0.9871671515444996]","[14388.921715494229, 14384.250602345808, 14301.722162763881, 14223.436593482393]","[692, 438, 542, 328]","[692, 438, 541, 328]","[0, 0, 1, 0]","[2834432, 1794048, 2215936, 1343488]",2000,997.503
