req_id,op,block,arrival,size_bytes,locality,start,finish,status,cache_hit,error_injected,error_recovered,rewrite_cycle,endurance_failure,channel,service_time_ms,queue_wait_ms,request_class,stage_times_ms,latency_ms
2,READ,1,152.53177555416354,4096,1,152.53177555416354,152.73177555416353,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,2,117.26446114951911,4096,2,117.26446114951911,117.46446114951911,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,3,131.25211111926046,4096,3,131.25211111926046,131.45211111926045,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,4,132.83569229872742,4096,4,132.83569229872742,133.0356922987274,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,5,115.45432211744745,4096,5,115.45432211744745,115.65432211744745,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,6,132.04073521867326,4096,6,132.04073521867326,132.24073521867325,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,7,119.69470898872953,4096,7,119.69470898872953,119.89470898872953,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,8,153.02654107627984,4096,8,153.02654107627984,153.22654107627983,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,9,168.86699073942438,4096,9,168.86699073942438,169.06699073942437,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,10,126.74843535169367,4096,10,126.74843535169367,126.94843535169367,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,11,133.21323960698743,4096,11,133.21323960698743,133.41323960698742,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,12,141.03753569112254,4096,12,141.03753569112254,141.23753569112253,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,13,131.0438765412192,4096,13,131.0438765412192,131.24387654121918,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,14,124.42351315637575,4096,14,124.42351315637575,124.62351315637575,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,15,138.14720391082187,4096,15,138.14720391082187,138.34720391082186,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,16,175.4000689886057,4096,0,175.4000689886057,175.6000689886057,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,17,158.09410903325798,4096,1,158.09410903325798,158.29410903325797,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,18,145.96804864430018,4096,2,145.96804864430018,146.16804864430017,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,19,113.74676824654566,4096,3,113.74676824654566,113.94676824654566,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,20,127.95331719716351,4096,4,127.95331719716351,128.15331719716352,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,21,117.58555366191037,4096,5,117.58555366191037,117.78555366191037,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,22,142.31921267500357,4096,6,142.31921267500357,142.51921267500356,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,23,101.14927670590345,4096,7,101.14927670590345,101.34927670590345,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,24,134.32789899169302,4096,8,134.32789899169302,134.527898991693,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,25,151.36398960134707,4096,9,151.36398960134707,151.56398960134706,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,26,123.79004842888159,4096,10,123.79004842888159,123.9900484288816,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,27,161.8699281353756,4096,11,161.8699281353756,162.0699281353756,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,28,119.61723621640864,4096,12,119.61723621640864,119.81723621640865,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,29,139.74078751236533,4096,13,139.74078751236533,139.94078751236532,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,30,114.97260702667116,4096,14,114.97260702667116,115.17260702667116,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,31,135.30369211608732,4096,15,135.30369211608732,135.5036921160873,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,32,125.50040593392194,4096,0,125.50040593392194,125.70040593392194,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,33,158.45475721608008,4096,1,158.45475721608008,158.65475721608007,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,34,126.99308666746056,4096,2,126.99308666746056,127.19308666746056,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,35,133.99265658915638,4096,3,133.99265658915638,134.19265658915637,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,36,109.18091525357752,4096,4,109.18091525357752,109.38091525357753,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,37,115.95365555792412,4096,5,115.95365555792412,116.15365555792413,completed,True,False,False,0,False,0,0.20000000000000284,0.0,hot_read,"{""cache"": 0.2}",0.20000000000000284
2,READ,38,130.9461412142107,4096,6,130.9461412142107,131.1461412142107,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,39,143.93292295196161,4096,7,143.93292295196161,144.1329229519616,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,40,130.21791787779264,4096,8,130.21791787779264,130.41791787779263,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
2,READ,41,132.7193887981758,4096,9,132.7193887981758,132.9193887981758,completed,True,False,False,0,False,0,0.19999999999998863,0.0,hot_read,"{""cache"": 0.2}",0.19999999999998863
