queue_depth,requests,completed,failed,transaction_success_rate,mean_latency_ms,p95_latency_ms,throughput_bytes_per_s,cache_hits,molecular_reads,molecular_writes,errors_injected,errors_recovered,error_recovery_rate,endurance_failures,maximum_rewrite_cycles,total_rewrite_cycles,prefetch_enabled,prefetch_depth,prefetch_attempts,prefetch_completed,prefetch_errors,prefetch_errors_recovered,prefetch_time_ms,simulation_time_ms,cold_read_count,hot_read_count,write_count,mean_queue_wait_ms,active_channel_count,mean_channel_utilization,max_channel_utilization,min_channel_utilization,channel_utilization,channel_busy_time_ms,channel_requests,channel_completed,channel_failed,channel_bytes_completed,peak_queue_depth,mean_sampled_queue_depth
50,50,49,1,0.98,802.6818414524924,1379.7715602884018,136579.7999756682,8,27,15,0,0,,0,2,14,False,1,0,0,0,0,0.0,1469.499882381989,27,8,14,689.1827304803854,4,0.9633674564534752,1.0,0.9252817514426588,"[1.0, 0.9892485230105041, 0.9389395513607379, 0.9252817514426588]","[1469.499882381989, 1453.7005882104922, 1379.7715602884018, 1359.7014249151878]","[12, 14, 12, 12]","[12, 14, 12, 11]","[0, 0, 0, 1]","[49152, 57344, 49152, 45056]",50,22.62
100,100,100,0,1.0,1339.9011317343425,2407.17703259751,152829.89886369286,30,45,25,1,1,1.0,0,2,25,False,1,0,0,0,0,0.0,2680.1038477773077,45,30,25,1237.9104741434712,4,0.9513685232333005,1.0,0.9197680935647123,"[0.9197680935647123, 0.9585088250010335, 1.0, 0.9271971743674562]","[2465.0740066255844, 2568.903190013776, 2680.1038477773077, 2484.9847146704665]","[21, 35, 22, 22]","[21, 35, 22, 22]","[0, 0, 0, 0]","[86016, 143360, 90112, 90112]",100,47.08080808080808
250,250,250,0,1.0,2821.373099073593,4848.348580397995,196920.9186058091,108,73,69,1,1,1.0,0,3,69,False,1,0,0,0,0,0.0,5200.056993690016,73,108,69,2738.6863991197665,4,0.9938196357049873,1.0,0.9853158413053242,"[1.0, 0.9933590218128097, 0.9853158413053242, 0.9966036797018153]","[5200.056993690016, 5165.5235286227735, 5123.698531573313, 5182.395934570629]","[64, 63, 60, 63]","[64, 63, 60, 63]","[0, 0, 0, 0]","[262144, 258048, 245760, 258048]",250,121.54032258064517
500,500,500,0,1.0,4385.88236107042,7961.471822029095,243977.6137539951,277,85,138,2,2,1.0,0,5,138,False,1,0,0,0,0,0.0,8394.212766032779,85,277,138,4319.253564626149,4,0.9921835182967595,1.0,0.9866856814334145,"[1.0, 0.9866856814334145, 0.9937936284681029, 0.9882547632855209]","[8394.212766032779, 8282.44954315012, 8342.115162888986, 8295.620750064021]","[121, 110, 102, 167]","[121, 110, 102, 167]","[0, 0, 0, 0]","[495616, 450560, 417792, 684032]",500,246.52008032128515
1000,1000,997,3,0.997,7211.904619799898,13564.247004304749,288494.24208411534,629,94,277,0,0,,0,9,274,False,1,0,0,0,0,0.0,14155.263448236603,94,629,274,7155.660806848653,4,0.9972939317375105,1.0,0.9919264813786514,"[0.9980919847744228, 0.9991572607969674, 0.9919264813786514, 1.0]","[14128.254990055311, 14143.33425279952, 14040.980665197168, 14155.263448236603]","[231, 192, 289, 288]","[229, 192, 288, 288]","[2, 0, 1, 0]","[937984, 786432, 1179648, 1179648]",1000,496.5100200400802
2000,2000,1994,6,0.997,12850.688971365886,24875.916731258116,310361.62352157565,1319,99,582,2,2,1.0,0,16,576,False,1,0,0,0,0,0.0,26315.830892127742,99,1319,576,12798.565104034587,4,0.9974496867049473,1.0,0.9954875287245099,"[1.0, 0.9967843145977378, 0.9975269034975414, 0.9954875287245099]","[26315.830892127742, 26231.207458879526, 26250.74930278913, 26197.08146113636]","[428, 528, 616, 428]","[425, 527, 616, 426]","[3, 1, 0, 2]","[1740800, 2158592, 2523136, 1744896]",2000,996.505005005005
4000,4000,3991,9,0.99775,23048.557380962164,44983.45154246492,343581.56531936704,2770,100,1130,4,4,1.0,0,28,1121,False,1,0,0,0,0,0.0,47578.61785979395,100,2770,1121,23001.28432804728,4,0.998513762449528,1.0,0.9967579943497078,"[0.9975261512938725, 1.0, 0.9967579943497078, 0.999770904154532]","[47460.91555756216, 47578.61785979395, 47424.367711859406, 47567.71779610916]","[1095, 844, 939, 1122]","[1093, 841, 938, 1119]","[2, 3, 1, 3]","[4476928, 3444736, 3842048, 4583424]",4000,1996.5025012506253
