req_id,op,block,arrival,size_bytes,locality,start,finish,status,cache_hit,error_injected,error_recovered,rewrite_cycle,endurance_failure,channel,service_time_ms,queue_wait_ms,request_class,stage_times_ms,latency_ms
1,READ,1,0.0,4096,1,0.0,152.53177555416354,completed,False,False,False,0,False,0,152.53177555416354,0.0,cold_read,"{""addressing"": 9.208747130565303, ""molecular_access"": 67.20045969578395, ""sensing"": 34.77200508369608, ""basecalling"": 18.94892196369703, ""decoding"": 12.723127298327965, ""error_correction"": 8.678514382093235, ""buffer"": 1.0}",152.53177555416354
1,READ,2,0.0,4096,2,0.0,117.26446114951911,completed,False,False,False,0,False,0,117.26446114951911,0.0,cold_read,"{""addressing"": 6.850834514339983, ""molecular_access"": 39.65868727880611, ""sensing"": 30.546017183546063, ""basecalling"": 20.38325706068212, ""decoding"": 12.60903392606067, ""error_correction"": 6.216631186084145, ""buffer"": 1.0}",117.26446114951911
1,READ,3,0.0,4096,3,0.0,131.25211111926046,completed,False,False,False,0,False,0,131.25211111926046,0.0,cold_read,"{""addressing"": 7.917406073187631, ""molecular_access"": 59.7186820527515, ""sensing"": 26.731996449951865, ""basecalling"": 16.53694242489158, ""decoding"": 11.15451172592033, ""error_correction"": 8.192572392557576, ""buffer"": 1.0}",131.25211111926046
1,READ,4,0.0,4096,4,0.0,132.83569229872742,completed,False,False,False,0,False,0,132.83569229872742,0.0,cold_read,"{""addressing"": 7.846579020803673, ""molecular_access"": 42.34824877880245, ""sensing"": 43.09559833595653, ""basecalling"": 21.996633949690015, ""decoding"": 9.395146672751029, ""error_correction"": 7.153485540723731, ""buffer"": 1.0}",132.83569229872742
1,READ,5,0.0,4096,5,0.0,115.45432211744745,completed,False,False,False,0,False,0,115.45432211744745,0.0,cold_read,"{""addressing"": 9.7631495606264, ""molecular_access"": 37.97085262189504, ""sensing"": 31.65868894187056, ""basecalling"": 18.02557331623662, ""decoding"": 10.100394545502596, ""error_correction"": 6.935663131316234, ""buffer"": 1.0}",115.45432211744745
1,READ,6,0.0,4096,6,0.0,132.04073521867326,completed,False,False,False,0,False,0,132.04073521867326,0.0,cold_read,"{""addressing"": 8.639944610284875, ""molecular_access"": 53.42830061578508, ""sensing"": 28.23084468780752, ""basecalling"": 21.579075866553797, ""decoding"": 11.8202100921917, ""error_correction"": 7.342359346050275, ""buffer"": 1.0}",132.04073521867326
1,READ,7,0.0,4096,7,0.0,119.69470898872953,completed,False,False,False,0,False,0,119.69470898872953,0.0,cold_read,"{""addressing"": 8.195296835406946, ""molecular_access"": 35.705870119291525, ""sensing"": 38.064114117657425, ""basecalling"": 15.373535091571094, ""decoding"": 11.10806760409341, ""error_correction"": 10.247825220709135, ""buffer"": 1.0}",119.69470898872953
1,READ,8,0.0,4096,8,0.0,153.02654107627984,completed,False,False,False,0,False,0,153.02654107627984,0.0,cold_read,"{""addressing"": 8.772968474941603, ""molecular_access"": 76.55605340386265, ""sensing"": 33.99646265226742, ""basecalling"": 14.869872429139697, ""decoding"": 8.988538686706109, ""error_correction"": 8.842645429362353, ""buffer"": 1.0}",153.02654107627984
1,READ,9,0.0,4096,9,0.0,168.86699073942438,completed,False,False,False,0,False,0,168.86699073942438,0.0,cold_read,"{""addressing"": 10.610583951890842, ""molecular_access"": 75.55094187490438, ""sensing"": 41.03399513815497, ""basecalling"": 20.182244343993997, ""decoding"": 11.44931763637303, ""error_correction"": 9.039907794107162, ""buffer"": 1.0}",168.86699073942438
1,READ,10,0.0,4096,10,0.0,126.74843535169367,completed,False,False,False,0,False,0,126.74843535169367,0.0,cold_read,"{""addressing"": 8.233487050358221, ""molecular_access"": 48.9066671904153, ""sensing"": 31.10794850603988, ""basecalling"": 16.217011178355865, ""decoding"": 14.051608056976306, ""error_correction"": 7.231713369548104, ""buffer"": 1.0}",126.74843535169367
1,READ,11,0.0,4096,11,0.0,133.21323960698743,completed,False,False,False,0,False,0,133.21323960698743,0.0,cold_read,"{""addressing"": 10.67785839365493, ""molecular_access"": 41.5375758251367, ""sensing"": 41.10646086165857, ""basecalling"": 22.16269558195986, ""decoding"": 9.817317370546878, ""error_correction"": 6.911331574030501, ""buffer"": 1.0}",133.21323960698743
1,READ,12,0.0,4096,12,0.0,141.03753569112254,completed,False,False,False,0,False,0,141.03753569112254,0.0,cold_read,"{""addressing"": 7.295284317163065, ""molecular_access"": 58.11820544557052, ""sensing"": 38.437232608524695, ""basecalling"": 17.295507427536503, ""decoding"": 12.018906894568007, ""error_correction"": 6.872398997759734, ""buffer"": 1.0}",141.03753569112254
1,READ,13,0.0,4096,13,0.0,131.0438765412192,completed,False,False,False,0,False,0,131.0438765412192,0.0,cold_read,"{""addressing"": 9.12582095355899, ""molecular_access"": 43.163438103563145, ""sensing"": 37.243110470717035, ""basecalling"": 21.824950249645706, ""decoding"": 11.548298484866049, ""error_correction"": 7.138258278868255, ""buffer"": 1.0}",131.0438765412192
1,READ,14,0.0,4096,14,0.0,124.42351315637575,completed,False,False,False,0,False,0,124.42351315637575,0.0,cold_read,"{""addressing"": 6.72228243077975, ""molecular_access"": 38.4068489323427, ""sensing"": 42.378845421568286, ""basecalling"": 11.313660746320672, ""decoding"": 15.601150239825836, ""error_correction"": 9.000725385538521, ""buffer"": 1.0}",124.42351315637575
1,READ,15,0.0,4096,15,0.0,138.14720391082187,completed,False,False,False,0,False,0,138.14720391082187,0.0,cold_read,"{""addressing"": 6.136462711378172, ""molecular_access"": 49.56065541272275, ""sensing"": 36.464756462826955, ""basecalling"": 18.296499754041943, ""decoding"": 16.539476224466405, ""error_correction"": 10.149353345385624, ""buffer"": 1.0}",138.14720391082187
1,READ,16,0.0,4096,0,0.0,175.4000689886057,completed,False,False,False,0,False,0,175.4000689886057,0.0,cold_read,"{""addressing"": 8.123125579800229, ""molecular_access"": 89.53515677846912, ""sensing"": 38.05653075507855, ""basecalling"": 19.9542292966555, ""decoding"": 11.09328180948118, ""error_correction"": 7.637744769121126, ""buffer"": 1.0}",175.4000689886057
1,READ,17,0.0,4096,1,0.0,158.09410903325798,completed,False,False,False,0,False,0,158.09410903325798,0.0,cold_read,"{""addressing"": 6.425183647028713, ""molecular_access"": 75.71069146281486, ""sensing"": 33.1998655091825, ""basecalling"": 18.45121545314371, ""decoding"": 14.460366863794867, ""error_correction"": 8.846786097293307, ""buffer"": 1.0}",158.09410903325798
1,READ,18,0.0,4096,2,0.0,145.96804864430018,completed,False,False,False,0,False,0,145.96804864430018,0.0,cold_read,"{""addressing"": 5.204366857672051, ""molecular_access"": 54.383929015384986, ""sensing"": 45.88161777981729, ""basecalling"": 19.478314294157975, ""decoding"": 11.397312270825575, ""error_correction"": 8.622508426442293, ""buffer"": 1.0}",145.96804864430018
1,READ,19,0.0,4096,3,0.0,113.74676824654566,completed,False,False,False,0,False,0,113.74676824654566,0.0,cold_read,"{""addressing"": 7.205382686703457, ""molecular_access"": 33.89514647484077, ""sensing"": 39.86711294033547, ""basecalling"": 17.51967255962483, ""decoding"": 8.615455134016397, ""error_correction"": 5.643998451024708, ""buffer"": 1.0}",113.74676824654566
1,READ,20,0.0,4096,4,0.0,127.95331719716351,completed,False,False,False,0,False,0,127.95331719716351,0.0,cold_read,"{""addressing"": 11.333253691285348, ""molecular_access"": 45.57271632268278, ""sensing"": 36.98699058306793, ""basecalling"": 14.341915431378608, ""decoding"": 12.033891532221057, ""error_correction"": 6.684549636527794, ""buffer"": 1.0}",127.95331719716351
1,READ,21,0.0,4096,5,0.0,117.58555366191037,completed,False,False,False,0,False,0,117.58555366191037,0.0,cold_read,"{""addressing"": 7.243620166660501, ""molecular_access"": 42.939591732097085, ""sensing"": 32.90534691717052, ""basecalling"": 14.4165799589844, ""decoding"": 13.413314822303093, ""error_correction"": 5.667100064694768, ""buffer"": 1.0}",117.58555366191037
1,READ,22,0.0,4096,6,0.0,142.31921267500357,completed,False,False,False,0,False,0,142.31921267500357,0.0,cold_read,"{""addressing"": 7.951735942046584, ""molecular_access"": 50.350823382796044, ""sensing"": 43.684593780615714, ""basecalling"": 15.942355111605703, ""decoding"": 13.517140125872158, ""error_correction"": 9.872564332067387, ""buffer"": 1.0}",142.31921267500357
1,READ,23,0.0,4096,7,0.0,101.14927670590345,completed,False,False,False,0,False,0,101.14927670590345,0.0,cold_read,"{""addressing"": 7.825526989856697, ""molecular_access"": 26.8008827474999, ""sensing"": 28.584124547683782, ""basecalling"": 19.060495433921684, ""decoding"": 9.403023294518057, ""error_correction"": 8.475223692423327, ""buffer"": 1.0}",101.14927670590345
1,READ,24,0.0,4096,8,0.0,134.32789899169302,completed,False,False,False,0,False,0,134.32789899169302,0.0,cold_read,"{""addressing"": 7.047250562361187, ""molecular_access"": 50.80769853791774, ""sensing"": 32.88119761208921, ""basecalling"": 20.4125336934583, ""decoding"": 14.542874220311102, ""error_correction"": 7.636344365555463, ""buffer"": 1.0}",134.32789899169302
1,READ,25,0.0,4096,9,0.0,151.36398960134707,completed,False,False,False,0,False,0,151.36398960134707,0.0,cold_read,"{""addressing"": 7.833611240923382, ""molecular_access"": 73.44141748709288, ""sensing"": 35.267181520568805, ""basecalling"": 15.818389336443552, ""decoding"": 10.705688295422565, ""error_correction"": 7.297701720895892, ""buffer"": 1.0}",151.36398960134707
1,READ,26,0.0,4096,10,0.0,123.79004842888159,completed,False,False,False,0,False,0,123.79004842888159,0.0,cold_read,"{""addressing"": 6.3855484222515795, ""molecular_access"": 47.15888377903017, ""sensing"": 31.128471537483065, ""basecalling"": 19.516002917203295, ""decoding"": 12.040144607371705, ""error_correction"": 6.560997165541782, ""buffer"": 1.0}",123.79004842888159
1,READ,27,0.0,4096,11,0.0,161.8699281353756,completed,False,False,False,0,False,0,161.8699281353756,0.0,cold_read,"{""addressing"": 10.192277881626353, ""molecular_access"": 70.7356038836047, ""sensing"": 36.881956903085275, ""basecalling"": 22.87840211969435, ""decoding"": 12.286555804661237, ""error_correction"": 7.895131542703676, ""buffer"": 1.0}",161.8699281353756
1,READ,28,0.0,4096,12,0.0,119.61723621640864,completed,False,False,False,0,False,0,119.61723621640864,0.0,cold_read,"{""addressing"": 6.836508668886345, ""molecular_access"": 38.03791305547239, ""sensing"": 39.032196461025876, ""basecalling"": 18.650113762720046, ""decoding"": 9.640195849917555, ""error_correction"": 6.4203084183864085, ""buffer"": 1.0}",119.61723621640864
1,READ,29,0.0,4096,13,0.0,139.74078751236533,completed,False,False,False,0,False,0,139.74078751236533,0.0,cold_read,"{""addressing"": 6.330495358640387, ""molecular_access"": 59.57884453014033, ""sensing"": 33.419972489607254, ""basecalling"": 20.061144968669215, ""decoding"": 12.342644394753448, ""error_correction"": 7.007685770554697, ""buffer"": 1.0}",139.74078751236533
1,READ,30,0.0,4096,14,0.0,114.97260702667116,completed,False,False,False,0,False,0,114.97260702667116,0.0,cold_read,"{""addressing"": 8.754972474538945, ""molecular_access"": 32.93691099956041, ""sensing"": 36.58467226931287, ""basecalling"": 17.568489292843775, ""decoding"": 11.056854379872814, ""error_correction"": 7.070707610542347, ""buffer"": 1.0}",114.97260702667116
1,READ,31,0.0,4096,15,0.0,135.30369211608732,completed,False,False,False,0,False,0,135.30369211608732,0.0,cold_read,"{""addressing"": 9.23221007778292, ""molecular_access"": 42.064925204988576, ""sensing"": 43.54003642686216, ""basecalling"": 19.103915322022715, ""decoding"": 12.044547136492218, ""error_correction"": 8.318057947938746, ""buffer"": 1.0}",135.30369211608732
1,READ,32,0.0,4096,0,0.0,125.50040593392194,completed,False,False,False,0,False,0,125.50040593392194,0.0,cold_read,"{""addressing"": 8.097483933392054, ""molecular_access"": 53.470040559304174, ""sensing"": 24.33322526076746, ""basecalling"": 18.497615655773046, ""decoding"": 11.203786989650498, ""error_correction"": 8.898253535034716, ""buffer"": 1.0}",125.50040593392194
1,READ,33,0.0,4096,1,0.0,158.45475721608008,completed,False,False,False,0,False,0,158.45475721608008,0.0,cold_read,"{""addressing"": 7.798002173521361, ""molecular_access"": 72.2834995991232, ""sensing"": 37.07761061587348, ""basecalling"": 19.697896466655244, ""decoding"": 11.965319429280349, ""error_correction"": 8.632428931626443, ""buffer"": 1.0}",158.45475721608008
1,READ,34,0.0,4096,2,0.0,126.99308666746056,completed,False,False,False,0,False,0,126.99308666746056,0.0,cold_read,"{""addressing"": 10.249577347992064, ""molecular_access"": 47.02168860329307, ""sensing"": 31.322593292901995, ""basecalling"": 18.140957481835972, ""decoding"": 11.6833161861293, ""error_correction"": 7.574953755308161, ""buffer"": 1.0}",126.99308666746056
1,READ,35,0.0,4096,3,0.0,133.99265658915638,completed,False,False,False,0,False,0,133.99265658915638,0.0,cold_read,"{""addressing"": 9.036588478599441, ""molecular_access"": 45.38513521634231, ""sensing"": 37.41690042950894, ""basecalling"": 22.557923147743075, ""decoding"": 9.610823525656201, ""error_correction"": 8.985285791306415, ""buffer"": 1.0}",133.99265658915638
1,READ,36,0.0,4096,4,0.0,109.18091525357752,completed,False,False,False,0,False,0,109.18091525357752,0.0,cold_read,"{""addressing"": 11.561962147858969, ""molecular_access"": 36.06762806324665, ""sensing"": 23.791395216338458, ""basecalling"": 17.617388149328058, ""decoding"": 10.200992592513634, ""error_correction"": 8.941549084291768, ""buffer"": 1.0}",109.18091525357752
1,READ,37,0.0,4096,5,0.0,115.95365555792412,completed,False,False,False,0,False,0,115.95365555792412,0.0,cold_read,"{""addressing"": 6.940643362524792, ""molecular_access"": 39.10559278753826, ""sensing"": 31.795491004653215, ""basecalling"": 15.639663711394697, ""decoding"": 13.1629797576677, ""error_correction"": 8.309284934145467, ""buffer"": 1.0}",115.95365555792412
1,READ,38,0.0,4096,6,0.0,130.9461412142107,completed,False,False,False,0,False,0,130.9461412142107,0.0,cold_read,"{""addressing"": 10.661118756797231, ""molecular_access"": 37.37551170522151, ""sensing"": 42.71387844369325, ""basecalling"": 18.860351084033592, ""decoding"": 13.549851192028687, ""error_correction"": 6.785430032436433, ""buffer"": 1.0}",130.9461412142107
